Signal,Window_Start,Window_Size,RMS,STD,Peak_to_Peak,Crest_Factor
Crack1_30,0,100,1.2164589869485942,1.1883991911283684,5.63094,3.278350515463918
Crack1_30,100,100,1.2086349976117685,0.9647132053666312,4.35564,3.4340091021928014
Crack1_30,200,100,2.159630448224418,1.6046204855195014,6.38631,2.4729773992793973
Crack1_30,300,100,1.502085916659563,1.3410743304412733,5.28759,3.338672961807605
Crack1_30,400,100,0.9418657581242669,0.8207987722387198,3.55122,3.040748491936477
Crack1_30,500,100,1.1617678623429897,0.803350208005668,3.4335,2.480897092388608
Crack1_30,600,100,1.130197153041893,1.1110441345419901,4.904999999999999,3.593783725447873
Crack1_30,700,100,1.8839325368534299,1.8825447024692161,6.69042,2.1539362013462098
Crack1_30,800,100,1.398364487757752,1.3588186644143654,6.39612,3.508923929994802
Crack1_30,900,100,0.8880564472650373,0.8763180862607539,3.2961599999999995,2.739011347332724
Crack1_30,1000,100,0.9388513394973668,0.9232401301238805,3.55122,2.445255474452555
Crack1_30,1100,100,1.2970827110192316,1.078666716790738,4.76766,3.039720306885501
Crack1_30,1200,100,1.0958332062576859,1.0354456208242468,4.60089,3.4180446121407173
Crack1_30,1300,100,1.007264889343414,0.9527534221378372,4.48317,3.5956416464891037
Crack1_30,1400,100,1.031508788438082,0.9895922823535509,4.914809999999999,2.9525483304042175
Crack1_30,1500,100,1.5453035716644805,1.5318639986177984,6.11163,2.5405525516628393
Crack1_30,1600,100,1.7390020178841084,1.7088078929283392,6.93567,2.3817399933840555
Crack1_30,1700,100,0.8686183054293757,0.8631608169944868,3.69837,2.8717382300151875
Crack1_30,1800,100,1.8546087155351663,1.4937569294998267,5.6898,2.8142960956596426
Crack1_30,1900,100,3.253259433392455,1.3771146307213318,5.22873,1.774005658179398
Crack1_30,2000,100,3.691706207136207,1.3548912159867448,6.53346,2.096783408558533
Crack1_30,2100,100,2.524326309875171,1.302533942513576,5.50341,2.1405779117177803
Crack1_30,2200,100,3.5552880070171526,3.2529050639340276,11.90934,1.9568715803025427
Crack1_30,2300,100,6.863535635551986,1.9008459495787027,7.07301,1.5782114595109182
Crack1_30,2400,100,7.2236636924171655,2.2998544082059285,7.75971,1.5787060913414706
Crack1_30,2500,100,2.534668799653517,2.0996928805078396,8.54451,3.1048447577621126
Crack1_30,2600,100,2.1118464825945567,0.5747142681583172,3.01167,1.6413227130098964
Crack1_30,2700,100,3.4928854568184744,1.1843696489931848,4.98348,1.564365894435156
Crack1_30,2800,100,1.9003286732902285,1.4334918045136187,5.7879000000000005,3.084277388514177
