RMS,Standard_Deviation,Peak_to_Peak,Prediction
1.5820836531454332,1.3582711698295007,3.7278,1
2.571477144843018,2.7209581382502006,6.32745,1
1.185191189196916,1.038558898276838,2.62908,1
1.04091604394879,1.1201699895953292,3.06072,1
1.178153363955644,0.9593691828071192,2.44269,1
1.0297541003560025,1.0696529384057245,3.34521,1
1.7953684782656736,1.9660416446835505,5.28759,1
2.1962535748064247,2.284659631356496,5.63094,1
1.308651793851214,1.4333671166278372,3.61008,1
1.716142606836623,1.861664733371721,5.20911,1
2.1135333289068337,2.270125286842116,7.0337700000000005,1
1.2361832676630111,1.2709270526784768,3.21768,1
3.1249508247730877,2.312975967715618,5.33664,1
3.783827340755654,3.1114834412077466,8.77995,-1
1.3547511733894162,1.444512645552125,3.25692,1
1.2992912017134572,1.1669103930765206,3.27654,1
1.8866128903010284,1.2061340810167005,3.26673,1
1.2272698159329103,1.042448100003065,3.09015,1
2.1649042347064684,2.151495748290012,6.582509999999999,1
0.9103324098646604,0.905700867455696,2.50155,1
1.958768213316726,2.128837809979896,5.91543,1
1.2538456719030455,1.3302362411504207,3.14901,1
1.68290352236841,1.7846760098236318,5.2287300000000005,1
2.080745478308195,1.8819320180920456,4.973669999999999,1
1.732925694064809,0.9880850300606724,2.61927,1
1.171703103712711,1.066194018005166,3.01167,1
2.43045925937877,2.5875846998310994,7.249589999999999,1
1.3014743780612816,1.3654225563648787,3.78666,1
1.8143152320228144,1.963180932097192,4.904999999999999,1
1.7909005170863064,1.6730887174444755,4.64013,1
0.9838815429461008,0.7872425676943543,1.99143,1
2.2116564682156223,2.028072875436186,5.69961,1
3.524162000646395,3.843871299635304,9.74133,-1
2.3271041787058007,2.489996892269145,6.61194,1
0.5493016040391654,0.5900044244918846,1.6088399999999998,-1
2.611079131135248,2.7648987998460264,7.93629,1
1.5031404311640346,1.238253624925039,3.31578,1
1.4410630668190758,1.572569824786804,4.29678,1
0.3765472798998819,0.378145492000103,1.0791,-1
1.5240848750479743,1.4631103334164517,4.15944,1
1.09353268778304,1.050920717480629,2.28573,1
1.1266205937448508,1.1793793451939032,2.48193,1
1.398025391132078,0.9400979865684216,2.52117,1
1.794729602391402,1.604943183143877,3.66894,1
2.459275889616698,1.906004151482887,5.4936,1
1.701683933534662,1.7156612118801309,4.59108,1
1.7895073132708903,1.776270200467823,3.94362,1
1.3494961569785962,0.9799006640267166,2.52117,1
0.9454909688886508,1.0323069416941844,2.30535,1
2.365980022062739,1.7088408037263154,4.43412,1
2.0117836222864525,2.175659550012364,5.31702,1
2.789788191718145,3.012519334635049,7.877429999999999,1
2.077875951326257,2.216981865879827,5.92524,1
0.7085985123820118,0.6877012914267356,1.80504,1
1.4848680777766083,1.621182763898013,4.33602,1
1.2962322895993603,1.389990805019947,3.63951,1
1.35023285291834,1.472493744448512,4.16925,1
1.4207124560233857,1.1746794014708863,2.99205,1
2.2222302656228043,2.218911985336508,5.54265,1
5.934310825871021,1.9236348596420267,4.640129999999999,-1
3.322837334229589,3.6301900250303705,11.34036,-1
2.615025971792632,2.611773175861564,7.41636,1
1.3600684382780155,1.236568562045793,3.64932,1
0.8062920898781036,0.6328679299190314,1.6677,1
1.3757104137862737,1.3847421089285905,3.45312,1
2.4714126964349763,2.6451563406044643,6.44517,1
1.4062159661481588,0.8667677669768298,2.38383,1
2.9535948043443603,2.4040765571066998,7.406549999999999,1
1.926751596573881,2.1104043944230213,5.75847,1
1.9225639568425288,1.8330556606688189,5.37588,1
2.2016111305132884,2.4103364974791384,7.32807,1
1.398249094010077,1.3926837481495933,3.28635,1
1.9828499153491168,2.149108085471738,5.54265,1
0.7771394243634793,0.8003421028535236,2.2563,1
5.136177560087852,1.8485720986940164,4.45374,-1
5.135470193000832,2.036174149172904,6.03315,1
1.0307349151454994,1.0658855804822578,2.80566,1
3.2790991951601587,2.8203980320798694,6.337260000000001,1
2.6213297799876307,1.0091132050815703,2.70756,1
1.37579785319283,1.5049543988672878,4.26735,1
2.1529802674316363,2.0314210132983264,6.0822,1
1.9730419658866865,1.7940279172158946,5.02272,1
1.3810108581940983,1.5086076867462928,2.9626200000000003,1
1.097975238655226,1.0198563317055986,2.92338,1
2.651865164389019,2.354519896947146,6.77871,1
2.6438632505105097,1.245038060815813,3.84552,1
2.105066150967708,1.5265370808434366,4.06134,1
1.612783094777472,1.6982202798459334,4.3164,1
1.1599607720953324,1.2604074913931604,3.29616,1
1.512946700052583,1.6554754073437636,3.60027,1
2.31630629461002,2.534547236117332,7.161300000000001,1
1.5976150488149516,1.0541254693061923,3.19806,1
1.5644771556817312,1.6144857980515033,3.84552,1
1.4226134906045282,1.2986219470307747,3.83571,1
2.5107851295162638,2.455344558354285,7.54389,1
2.045492820899159,2.1657116437212967,6.13125,1
0.7273857562875424,0.7667735138031307,2.08953,1
1.9965097405096728,1.8637115352087084,5.11101,1
2.0382227659164247,2.232657725429493,5.25816,1
1.8702270377015728,1.8702133158091887,5.27778,1
0.8596120372005037,0.7552723183594113,1.90314,1
0.7152559734808231,0.7492340001895269,1.99143,1
1.0154574201560596,0.875685608052342,2.07972,1
1.791303492878859,1.3923658464067552,3.68856,1
1.2717420560986414,1.2205272262223403,3.45312,1
2.4536899912988197,2.6593726091317103,7.67142,1
2.5864439096953173,2.507975312892852,6.10182,1
1.4689417261586657,1.42531906862639,3.58065,1
2.00931056482068,1.0762722039521413,2.7468,1
0.9727411854650752,0.688677837424728,1.8639,1
1.6227076414129564,1.3735401357077266,3.77685,1
1.9512613620425123,1.728598830301583,4.97367,1
1.715852851295821,1.7064400302266705,5.1012,1
2.160350440009676,2.276506973876865,6.24897,1
6.558054092754953,3.4573368400374296,8.26002,-1
3.079074437473053,3.104697879388589,9.33912,-1
1.7285886235741574,1.8819430977131053,4.080959999999999,1
2.193169522278203,2.389187184100484,5.46417,1
1.5489810863435356,1.5925440514441038,4.77747,1
1.012839941599856,1.109504783802215,2.86452,1
2.1551917329671624,2.1512750696714726,6.582509999999999,1
1.221893160120802,1.33344449563902,3.39426,1
2.2058689012495734,2.4164056571527888,6.12144,1
1.73527041454639,1.8714744517091328,4.97367,1
1.7983454115380615,1.9364817416025384,5.356260000000001,1
1.999901096229511,2.1783737674329444,5.84676,1
2.1313302116049497,2.3103469886144805,6.288209999999999,1
2.121180468524543,2.2558855249746164,6.24897,1
1.4826736769431097,1.490719801558965,4.1202000000000005,1
1.922801708731298,1.7235660974270757,4.78728,1
1.5051291749713709,1.469926288488644,4.56165,1
2.292638486787657,1.7195524383513283,3.91419,1
5.078351585470427,2.042956936528521,5.07177,1
0.93916768215266,0.9603717774487128,2.76642,1
2.112030196232999,2.26699739767826,5.79771,1
1.4936295494030638,1.6300597413438562,4.13982,1
1.523600697738748,1.62650174728157,4.0221,1
1.0145962167286058,1.0775768887276675,2.89395,1
1.3841894936207253,1.129222902862849,3.0411,1
1.4426148970532642,1.568422358218602,3.93381,1
3.034531810213892,2.8704804289735195,8.20116,1
2.459667177333145,2.6917568648505386,7.47522,1
1.7771043573605914,1.9316460456279247,5.06196,1
2.8397959127109824,3.1019798087592387,7.87743,1
1.526303807257913,1.4697909775576934,4.04172,1
2.1429293272877667,2.25355508467621,6.04296,1
1.1756593668661004,1.2858760998945429,3.20787,1
1.9481764269439248,2.105644384334638,5.75847,1
3.239174752610609,2.419805081751421,5.5132200000000005,1
1.3281474444879982,1.447480930195628,3.94362,1
1.5949372622927838,1.6709370437063151,4.93443,1
1.285272241667111,1.3777236086966065,4.3164,1
1.070818906958595,1.0587167250591634,2.6487,1
2.032868556215576,2.2266877656712447,6.40593,1
2.622531845373856,1.918320354028492,4.87557,1
2.3413177164793333,1.8565503834046624,5.36607,1
0.608905259133143,0.6489940916526128,1.80504,1
1.4018635307154546,1.5346605055939897,3.96324,1
0.8686698222569955,0.9423048423944346,2.58003,1
1.027750647895685,1.0321950664627302,2.8449,1
1.1008419910459448,1.1933318307453298,3.1686300000000003,1
4.570156375284111,1.690621940704071,4.75785,1
0.8396962700881789,0.89607069613954,2.54079,1
1.799419823873795,1.4574339009334178,4.01229,1
1.2821486108092148,1.4006765499429197,3.90438,1
1.8273917454393844,1.9190727093260431,5.02272,1
1.420955162821825,1.347563389585069,3.21768,1
2.433769857422842,2.034497190560852,5.18949,1
1.680371200285818,1.8401191014904443,5.630940000000001,1
1.245129524045591,1.3460628413079383,3.64932,1
2.384179850871154,2.3484956966705304,6.04296,1
2.130743140854852,2.303020861711852,6.3765,1
1.3860017571417431,1.401528256168958,3.00186,1
1.803484302426833,1.484232791997266,4.2183,1
3.2122420206765248,3.4599227026914923,8.50527,-1
1.2389891483786288,0.9260487583491488,2.29554,1
1.1049068222705478,1.2090070488628262,3.38445,1
1.553809241428947,1.699848726984257,4.33602,1
1.0650290102386883,1.0473371506587552,3.01167,1
1.7345308056070956,1.6719647821649832,4.57146,1
1.3399301326188615,1.2750383731637256,3.3059700000000003,1
2.064540856389139,1.7497879692237002,5.44455,1
1.5381483547109491,1.662818632575423,4.32621,1
3.467378233709152,3.182077307678115,8.40717,-1
2.6505614292541875,2.86268787813656,7.92648,1
1.5377364053861766,1.6440040043108166,4.58127,1
2.0675491394281296,2.26444395249474,6.68061,1
2.068867521846191,1.507165313026411,4.28697,1
2.679354472825498,1.486605082471468,4.20849,1
2.1020085492809013,1.580420127292107,3.87495,1
1.073347302507441,1.0494896760997698,2.63889,1
0.9571329659979328,1.0481867557835292,2.42307,1
0.976444120981841,0.992992991213936,2.24649,1
1.6774621923012154,1.836306925227915,5.1012,1
1.0706241676704296,1.1648839740334658,2.63889,1
1.7472543605039308,1.8651284267738777,5.61132,1
2.029196385604409,2.188632032843804,4.84614,1
1.102647200173292,1.0269981503926868,2.86452,1
1.9777350903874864,2.057411395572116,5.51322,1
1.3127268278853756,1.430683485090256,4.00248,1
1.4937852496259294,1.633707184877388,4.208489999999999,1
1.5359778616568664,1.682442170334541,4.43412,1
1.2385489227317588,1.3560812614589144,3.5316,1
0.9600610850878188,1.043758183891269,2.93319,1
1.8643044034974543,1.9750886622326604,5.493600000000001,1
1.6301286180084074,1.7592560492520697,4.74804,1
1.0231364414143405,1.0951829988043094,2.92338,1
3.1098086827247107,1.3798931188718928,4.06134,1
1.3139725081028142,1.3471872186262754,2.97243,1
6.050217589872284,1.440327171332958,4.04172,-1
1.535131791345616,1.1287213944282264,3.18825,1
1.2329092581573065,1.0850661209115322,2.9528100000000004,1
1.689818179716386,1.77881748419561,4.6793700000000005,1
2.1526636261153294,2.213494859203428,6.22935,1
2.1148950941004143,2.310755859719932,6.5727,1
1.0595632606173169,1.037093787673034,2.70756,1
0.7728449745259395,0.7878698397260806,1.7854199999999998,1
2.072364918637642,2.1329355511782344,5.042339999999999,1
1.851588232788273,1.368242401418696,4.04172,1
0.9253435576854686,1.012825689084751,2.47212,1
1.8640677950788165,1.9583218898715296,5.493600000000001,1
1.5784144688579105,1.7169686089384395,4.82652,1
1.53777812679528,1.594742155920511,3.97305,1
1.3188400936808071,1.3494937798893332,3.75723,1
1.1194294693280145,1.2212353384503745,3.32559,1
3.2419588749242334,2.21930734770108,6.24897,1
1.3063516989310344,1.430157593931522,3.61008,1
3.3164474771960437,2.449513325401599,6.867,1
1.228171254915209,1.305307654080064,3.32559,1
