Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50
-1.81485,0.21582,-1.05948,-2.79585,1.962,-1.03005,0.64746,-0.7848,1.7658,0.26487,-2.29554,-0.80442
-1.70694,1.19682,-0.80442,-1.73637,3.41388,-1.40283,0.89271,-0.69651,1.98162,0.67689,-1.63827,0.3924
-2.02086,0.06867,-0.13734,-1.60884,1.59903,-0.41202,0.44145,0.38259,1.05948,0.51012,-1.11834,-0.26487
-2.10915,-0.4905,0.3924,-2.37402,1.71675,0.60822,0.24525,0.38259,0.74556,-0.27468,-2.86452,-0.66708
-1.01043,-2.11896,-0.15696,-3.94362,2.19744,2.20725,0.22563,0.66708,0.36297,-0.27468,-1.01043,-1.23606
-1.16739,-1.80504,0.66708,-1.91295,1.98162,0.6867,0.23544,1.05948,0.85347,0.24525,-0.65727,-1.94238
-0.76518,-2.1582,0.44145,-2.28573,1.40283,2.21706,-0.00981,0.60822,1.20663,-0.54936,-1.73637,-1.29492
-0.32373,-3.16863,0.5886,-3.70818,0.26487,2.41326,0.55917,0.90252,1.43226,-0.17658,-0.32373,-1.52055
-0.01962,-1.95219,0.10791,-3.99267,0.85347,2.50155,0.65727,0.62784,1.29492,-0.31392,-0.31392,-1.92276
0.02943,-1.30473,-0.03924,-1.71675,0.91233,3.42369,0.60822,0.92214,0.25506,-0.43164,-0.82404,-2.48193
0.6867,-0.06867,0.5886,-2.86452,-0.69651,2.81547,0.01962,0.77499,1.23606,-0.36297,-1.51074,-2.60946
0.00981,-0.14715,0.47088,-3.21768,-1.44207,4.47336,0.27468,0.67689,0.77499,0.4905,-1.25568,-3.11958
-0.1962,0.52974,0.15696,-3.20787,-0.24525,5.74866,0.60822,1.12815,-0.13734,0.0,-1.33416,-3.35502
-0.42183,0.87309,-0.81423,-1.75599,-1.57941,4.04172,0.63765,1.00062,-0.48069,-0.01962,-2.28573,-2.04048
0.15696,0.38259,-0.94176,-2.58003,-0.83385,3.74742,0.65727,1.61865,1.00062,0.06867,-0.77499,-2.88414
0.30411,-1.13796,-1.30473,-3.30597,-1.42245,4.34583,1.52055,1.33416,1.05948,-0.0981,0.24525,-3.56103
0.03924,-1.50093,-1.53036,-2.03067,-0.47088,2.23668,1.38321,1.4715,2.08953,0.26487,0.80442,-3.26673
0.0981,-0.6867,-1.63827,-0.20601,-0.56898,0.55917,1.03005,0.33354,0.89271,-0.46107,0.28449,-1.85409
1.05948,0.06867,-1.28511,1.08891,-0.23544,0.32373,0.15696,1.05948,0.75537,0.35316,0.8829,-2.67813
0.45126,0.75537,-1.23606,0.99081,-0.23544,1.70694,0.17658,0.22563,1.63827,0.43164,2.05029,-2.21706
1.09872,0.40221,-1.70694,0.55917,1.00062,1.7658,0.28449,0.06867,0.82404,-0.07848,1.73637,-1.64808
0.42183,-0.12753,-2.85471,1.53036,0.56898,-0.15696,-0.17658,-0.47088,-0.12753,0.0981,0.77499,-0.8829
0.81423,-1.99143,-2.54079,1.61865,1.49112,-1.3734,0.60822,-0.21582,1.01043,-0.14715,1.52055,-2.89395
0.36297,-3.79647,-2.62908,1.80504,2.87433,-1.52055,0.84366,-1.06929,2.73699,0.45126,2.66832,-2.83509
0.70632,-4.37526,-1.6677,1.40283,3.37464,-3.09015,0.53955,-1.80504,2.00124,0.25506,1.61865,-2.76642
-0.51993,-3.74742,-1.85409,2.1582,2.52117,-3.5316,0.30411,-2.40345,1.69713,0.20601,2.54079,-3.10977
0.37278,-4.11039,-1.51074,2.49174,3.2373,-5.61132,0.06867,-3.81609,2.77623,0.67689,4.46355,-3.85533
-0.15696,-2.83509,-1.50093,3.55122,3.39426,-2.19744,-0.12753,-3.00186,3.00186,1.05948,3.01167,-3.60027
-0.26487,-2.75661,-2.14839,3.00186,2.21706,-1.42245,-0.2943,-2.91357,2.06991,0.981,2.24649,-2.23668
-0.92214,-2.80566,-2.58003,2.76642,3.39426,-1.87371,-0.41202,-2.943,1.6677,-0.07848,-0.25506,-2.14839
-0.91233,-2.27592,-2.19744,1.8639,3.03129,-0.73575,-0.60822,-2.4525,2.10915,0.15696,2.40345,-1.52055
-1.97181,-1.90314,-2.2563,0.981,4.23792,1.88352,0.33354,-2.1582,1.81485,0.27468,-1.69713,-1.92276
-1.93257,-0.80442,-1.7658,0.20601,3.50217,0.10791,-0.17658,-2.16801,2.98224,-1.05948,-0.8829,-0.85347
