RMS,Standard_Deviation,Peak_to_Peak
2.0630603373023293,1.883892096058052,5.43474
0.8300809819830834,0.8775518853891205,2.50155
1.7689491086235352,1.9228667725456177,4.6793700000000005
1.5602115468102395,1.6424178449590714,4.71861
1.241265467577343,1.3560339497519964,3.0901499999999995
2.401079749612661,1.6129819852682794,3.55122
1.2829864898353371,1.4015969196027793,3.5021699999999996
1.2729585428441885,1.3344148433077325,3.7768499999999996
1.7141413609151375,1.8479602960345225,5.50341
1.720217369854752,1.8599347796065322,5.081580000000001
1.383366533695969,1.4998257016033565,4.06134
2.1733043387086863,2.208060084678404,5.90562
1.8022743758651179,1.7941700641466518,4.49298
2.4329591116169627,2.289217678221099,6.85719
2.2689959545358382,1.6736676521699283,4.76766
1.0797315197538693,1.1555122336998427,3.0999600000000003
1.9748864433303501,1.7744054726555598,4.934430000000001
2.4149973928867916,2.4686353833869434,5.95467
2.2708331298666575,2.4714243783211334,6.65118
2.5510778783094805,2.7944188652956092,6.95529
1.8568864228999038,2.0174704851149623,5.6505600000000005
1.5541601701723025,1.7024510024755484,4.74804
1.218435963294748,1.2735694989870008,3.45312
1.1011042211571072,1.1908777029527422,3.22749
1.6573965241908768,1.7707054529085293,4.64013
1.6534143136854718,1.7296896748376571,4.6205099999999995
0.5121596722702794,0.5564498574714527,1.58922
1.2236443115546283,1.1306466547776985,2.91357
1.4865522142191978,1.389630736059044,3.3746400000000003
0.9600109639998909,0.993826112315429,2.54079
2.0050993668643953,2.086022168261881,5.67999
1.9421487741159273,2.0692915521598207,5.77809
1.9167653874039985,2.093376002764434,5.97429
2.212352568782833,2.30843842912043,6.65118
1.2608871525041405,0.7625700295644984,2.30535
2.342293718612164,1.896406891031036,5.7977099999999995
1.0969156389394765,1.1975662386649015,3.1391999999999998
1.6839087173745497,1.8277524520213344,4.75785
3.42291223257331,1.4946912103441299,4.13982
1.9816078588736974,2.1519817578571616,6.1999200000000005
1.436436598687878,1.4702885112895359,4.57146
0.9042865591448321,0.7596112166825869,2.1778199999999996
1.397267977179038,1.458643970470519,3.7866600000000004
2.0342961464717964,2.2175439361216727,5.57208
1.74875001884203,1.8783729361018806,5.26797
1.4872533748827064,1.205329274530408,3.0803399999999996
2.1015926465659325,2.006695387825467,5.81733
1.8274400193029592,1.9971041454440979,5.5132200000000005
1.0862997091963158,1.1876016955023263,2.90376
2.074496092512589,2.0418135041648635,4.50279
2.2589783885420416,2.2541834594548864,6.984719999999999
1.7643187954278559,1.638847532932823,3.78666
1.5227266839620301,1.3992341080855626,3.7964700000000002
1.3723602135372477,1.202163366984704,3.46293
1.6745050278515141,1.7634221990436663,4.9540500000000005
2.103442591764748,1.7280689287033664,3.90438
2.250766203040645,1.661708020823755,5.0227200000000005
2.1232966387318566,1.3563284382884553,3.7572300000000003
2.3877662255233445,2.5221565326660436,7.190729999999999
1.9439978111098786,1.8468107742375774,5.0325299999999995
2.7451002419401735,2.6813848462986436,7.27902
1.0770170806444992,0.7333786986816566,1.77561
1.9233897055589126,1.710350360396957,4.09077
1.7220206235698805,1.867661866912745,5.38569
1.6421082432805703,1.792077847402283,5.1993
2.069131097526206,2.095042580490907,5.87619
1.9776174924893843,2.131548440265902,6.052770000000001
1.350203155214059,1.359715780473993,3.55122
2.6816731507213927,2.283240356572212,6.59232
1.573779014871529,1.6552980952414582,4.17906
2.7228214181341386,2.967666336303662,7.78914
2.8233264079096485,1.5933888284784725,3.81609
0.9905833404110933,1.0677498908826917,2.9626200000000003
1.816819768881878,1.8715361578233,4.20849
1.279230519922035,1.3468669143608807,2.8939500000000002
1.7151095447959002,1.870079522081882,5.38569
2.772414303616976,2.3733442840009538,6.91605
1.3462653938395652,1.4112688866796435,4.36545
1.8807248009211768,1.6948432397245474,4.24773
1.873230566935101,1.9077528632398904,4.74804
1.8010591837443877,1.958960633333401,4.74804
0.9550779412435406,0.9713666960473785,2.8154700000000004
1.476228452899483,1.3026618684178946,3.67875
2.0886893027087585,1.845692690333361,5.38569
2.2293930970670024,0.6587593350154516,1.8246599999999997
2.0116839610510393,2.1503772110748383,4.58127
2.018509312438266,2.2100052536770134,6.45498
1.9329019511863503,2.0769293730119953,4.7088
1.066729434181883,1.103272510375383,2.9331899999999997
1.733573468345083,1.3441406497498691,4.08096
3.5884000238128415,2.2232037176291333,5.79771
0.8014435788625424,0.8767015752238615,2.38383
2.163963112104733,2.222058478166135,6.09201
2.2726652913154632,1.533522971745125,4.27716
1.6716050016526032,1.5470269432139832,3.94362
1.4031729650688114,1.3782078275354557,3.81609
2.0809805731553577,2.194256012472109,5.87619
2.4440061815490566,2.306470572339912,6.23916
1.79358978349287,1.8052470288882905,5.38569
1.701132448018084,1.8630805988362393,5.50341
2.2812943549331814,1.562332974224765,4.38507
1.3796222619978267,1.3547417018900687,3.52179
1.686521322604609,1.8131364180447096,4.83633
3.068954667773703,2.7878730149614057,7.26921
1.8353659710395636,1.8709370082688515,5.33664
1.373242330235272,1.364999605944998,4.28697
1.4144384905502254,1.3653379767625304,3.4825500000000003
1.9026679827021846,1.802806487718524,5.0913900000000005
1.3907325761806257,1.4758546465929496,3.50217
4.081516097928563,1.6818214331937864,4.42431
2.1044031583919467,1.5090499085285416,3.83571
1.576803019260808,1.5469937657243482,4.27716
6.081596074855679,2.741862533797054,6.170490000000001
1.5603040662319636,1.5072706657797066,3.61008
2.1985054113647298,2.2118334145409775,6.4157399999999996
0.9552458640842157,1.0453014186300522,2.8743299999999996
1.3033339711869707,1.1358056806117849,3.3157799999999997
1.3736627427247197,1.3164189072138093,3.4923599999999997
1.269071791586276,1.366064955380966,4.03191
1.7585456821191767,1.2549900448210733,2.943
1.2963003438439717,1.243348002495681,3.31578
2.4797479637354276,2.451757597632768,6.886620000000001
3.8998215223391957,3.1618143881954865,8.84862
1.4094629377709795,1.5410684672362873,4.10058
1.305700804242687,1.2803409295652468,3.44331
1.1118168307549585,1.1875274120246655,3.4531199999999997
2.002441844998251,0.5610313755932015,1.3635899999999999
1.6182436762737555,1.71979120911813,4.57146
1.3233807564340656,1.4490535596312513,3.7670399999999997
2.35652454143809,1.841602918731397,4.69899
1.4989624358535474,1.4910554591295389,4.18887
